slide_id,tss,stain_condition,rgb_mean_r,rgb_mean_g,rgb_mean_b,rgb_std_r,rgb_std_g,rgb_std_b,lab_mean_l,lab_mean_a,lab_mean_b,lab_std_l,lab_std_a,lab_std_b,n_patches_used
TCGA-E9-A229-01Z-00-DX1.5B448B88-DA0C-44FF-87B3-20649A4A26FE,E9,staingan,197.15501642227173,145.1085585951805,177.2690548300743,35.551535669397964,39.88534864380881,33.10632252432086,168.1155691742897,153.09778660535812,119.11064875125885,36.163388415177394,7.7957244341274805,4.713757154481051,256
TCGA-E9-A22A-01Z-00-DX1.d986c9eb-2c54-4663-a54b-04c0756db6db,E9,staingan,216.49043571949005,174.0175706744194,199.72274762392044,25.525382097403792,37.585409170880624,29.387534130784385,192.64669352769852,147.94057512283325,121.1100183725357,31.079072247196493,8.863248779832789,3.8752219568027564,256
TCGA-E9-A22B-01Z-00-DX1.01692f98-bd7c-4b02-990c-53560276baa0,E9,staingan,214.98362970352173,177.06806975603104,205.28060948848724,29.72512891378805,39.33523746599445,30.61204403748864,194.46093302965164,146.72438848018646,119.05301785469055,33.45432027745316,8.19618893614847,4.7195126992024425,256
TCGA-E9-A22D-01Z-00-DX1.b2867437-0add-4b7d-8002-fb09ed961942,E9,staingan,200.01366901397705,152.96879893541336,186.81725424528122,35.466109994400064,40.08288066543278,33.316102425755645,174.1327359676361,151.39407527446747,117.27378177642822,36.272854627311226,7.2025221233932415,4.324738814681162,256
TCGA-E9-A22E-01Z-00-DX1.3d5b1ba6-466f-4852-b1fc-bc29ef3be9a2,E9,staingan,212.92526388168335,172.4635266661644,203.38555866479874,32.53104261280185,40.056593228027495,30.53189753536893,190.8358457684517,148.15900039672852,117.92081624269485,34.92867073913905,7.906023792102596,4.918500358788684,256
TCGA-E9-A22G-01Z-00-DX1.2b47e321-7910-40ec-ad1c-c4e08ed26334,E9,staingan,226.78860825300217,172.8291164636612,201.82688081264496,17.40546541513512,27.03157164086664,20.50933603409552,194.82788479328156,152.3607093691826,121.11352187395096,21.51575460536702,7.633083897928201,2.529418604037377,256
TCGA-E9-A22H-01Z-00-DX1.0ee39fd1-b077-40ea-bd0d-8a3db474fdd5,E9,staingan,221.89393949508667,172.76702272891998,203.58479791879654,23.878524612045965,29.06361813344774,22.99556216970551,193.50768518447876,151.01325011253357,119.32747632265091,24.964209033451596,6.941617182092023,3.2802192891290853,256
TCGA-E9-A243-01Z-00-DX1.9A3B34E5-25EF-4243-8680-FABF2F1CCDA9,E9,staingan,213.79985237121582,167.72947025299072,199.69493860006332,27.405005850467738,33.23944833121011,26.324087313636557,188.1209281682968,150.35604810714722,118.3560202717781,28.928901854718045,7.05686506137459,3.8223765604945372,256
TCGA-E9-A244-01Z-00-DX1.4FDAA892-9DBF-4E5D-89F3-2A84C8AC8F0A,E9,staingan,220.50549519062042,155.45196080207825,191.555277466774,21.644182674598266,30.790639309978484,23.91569811022652,182.3539184331894,157.80719411373138,119.4730852842331,24.773313821334014,8.772381926888139,3.3138493730803944,256
TCGA-E9-A245-01Z-00-DX1.648850D5-EB80-4FBE-8507-32313FAD1060,E9,staingan,205.93078589439392,154.4562269449234,185.855033993721,30.273382872138768,37.36307442662891,30.50045922178467,176.8458627462387,152.50814193487167,119.43689686059952,32.578932358419515,7.912665519968325,4.160805557291755,256
